participant,object,criterion,choice
NUM03,OBJ29,texture,C3
NUM03,OBJ30,texture,s1.25
NUM03,OBJ01,shape,C3
NUM03,OBJ02,shape,s2.50
NUM03,OBJ03,shape,C3
NUM03,OBJ04,shape,C3
NUM03,OBJ05,shape,s2.50
NUM03,OBJ06,shape,s1.25
NUM03,OBJ07,shape,s2.50
NUM03,OBJ08,shape,C3
NUM03,OBJ09,shape,C3
NUM03,OBJ10,shape,s2.50
NUM03,OBJ11,shape,s1.25
NUM03,OBJ12,shape,s2.50
NUM03,OBJ13,shape,C3
NUM03,OBJ14,shape,s2.50
NUM03,OBJ15,shape,s2.50
NUM03,OBJ16,shape,s2.50
NUM03,OBJ17,shape,s2.50
NUM03,OBJ18,shape,s2.50
NUM03,OBJ19,shape,C3
NUM03,OBJ20,shape,C3
NUM03,OBJ21,shape,C3
NUM03,OBJ22,shape,s2.50
NUM03,OBJ23,shape,s2.50
NUM03,OBJ24,shape,C3
NUM03,OBJ25,shape,C3
NUM03,OBJ26,shape,s2.50
NUM03,OBJ27,shape,C3
NUM03,OBJ28,shape,s2.50
NUM03,OBJ29,shape,C3
NUM03,OBJ30,shape,s2.50
NUM03,OBJ01,overall,C3
NUM03,OBJ02,overall,C3
NUM03,OBJ03,overall,s2.50
NUM03,OBJ04,overall,C3
NUM03,OBJ05,overall,C3
NUM03,OBJ06,overall,C3
NUM03,OBJ07,overall,C3
NUM03,OBJ08,overall,C3
NUM03,OBJ09,overall,C3
NUM03,OBJ10,overall,C3
NUM03,OBJ11,overall,C3
NUM03,OBJ12,overall,C3
NUM03,OBJ13,overall,C3
NUM03,OBJ14,overall,s1.25
NUM03,OBJ15,overall,s2.50
NUM03,OBJ16,overall,C3
NUM03,OBJ17,overall,C3
NUM03,OBJ18,overall,C3
NUM03,OBJ19,overall,C3
NUM03,OBJ20,overall,C3
NUM03,OBJ21,overall,s1.25
NUM03,OBJ22,overall,C3
NUM03,OBJ23,overall,C3
NUM03,OBJ24,overall,C3
NUM03,OBJ25,overall,C3
NUM03,OBJ26,overall,C3
NUM03,OBJ27,overall,C3
NUM03,OBJ28,overall,C3
NUM03,OBJ29,overall,C3
NUM03,OBJ30,overall,C3
NUM04,OBJ01,texture,s1.25
NUM04,OBJ02,texture,s1.25
NUM04,OBJ03,texture,s1.25
NUM04,OBJ04,texture,s1.25
NUM04,OBJ05,texture,C3
NUM04,OBJ06,texture,C3
NUM04,OBJ07,texture,s1.25
NUM04,OBJ08,texture,s2.50
NUM04,OBJ09,texture,C3
NUM04,OBJ10,texture,s1.25
NUM04,OBJ11,texture,s1.25
NUM04,OBJ12,texture,s2.50
NUM04,OBJ13,texture,C3
NUM04,OBJ14,texture,s2.50
NUM04,OBJ15,texture,C3
NUM04,OBJ16,texture,C3
NUM04,OBJ17,texture,C3
NUM04,OBJ18,texture,s1.25
NUM04,OBJ19,texture,C3
NUM04,OBJ20,texture,C3
NUM04,OBJ21,texture,s1.25
NUM04,OBJ22,texture,C3
NUM04,OBJ23,texture,C3
NUM04,OBJ24,texture,s2.50
NUM04,OBJ25,texture,s2.50
NUM04,OBJ26,texture,s2.50
NUM04,OBJ27,texture,s1.25
NUM04,OBJ28,texture,s1.25
NUM04,OBJ29,texture,C3
NUM04,OBJ30,texture,s1.25
NUM04,OBJ01,shape,C3
NUM04,OBJ02,shape,s2.50
NUM04,OBJ03,shape,C3
NUM04,OBJ04,shape,C3
NUM04,OBJ05,shape,C3
NUM04,OBJ06,shape,s2.50
NUM04,OBJ07,shape,C3
NUM04,OBJ08,shape,s2.50
NUM04,OBJ09,shape,C3
NUM04,OBJ10,shape,s2.50
NUM04,OBJ11,shape,C3
NUM04,OBJ12,shape,s1.25
NUM04,OBJ13,shape,C3
NUM04,OBJ14,shape,C3
NUM04,OBJ15,shape,s2.50
NUM04,OBJ16,shape,C3
NUM04,OBJ17,shape,C3
NUM04,OBJ18,shape,s1.25
NUM04,OBJ19,shape,s2.50
NUM04,OBJ20,shape,s2.50
NUM04,OBJ21,shape,C3
NUM04,OBJ22,shape,s1.25
NUM04,OBJ23,shape,s2.50
NUM04,OBJ24,shape,C3
NUM04,OBJ25,shape,s2.50
NUM04,OBJ26,shape,s1.25
NUM04,OBJ27,shape,C3
NUM04,OBJ28,shape,C3
NUM04,OBJ29,shape,C3
NUM04,OBJ30,shape,s2.50
NUM04,OBJ01,overall,s1.25
NUM04,OBJ02,overall,C3
NUM04,OBJ03,overall,s1.25
NUM04,OBJ04,overall,C3
NUM04,OBJ05,overall,C3
NUM04,OBJ06,overall,C3
NUM04,OBJ07,overall,s2.50
NUM04,OBJ08,overall,C3
NUM04,OBJ09,overall,C3
NUM04,OBJ10,overall,C3
NUM04,OBJ11,overall,C3
NUM04,OBJ12,overall,C3
NUM04,OBJ13,overall,s1.25
NUM04,OBJ14,overall,C3
NUM04,OBJ15,overall,C3
NUM04,OBJ16,overall,s2.50
NUM04,OBJ17,overall,C3
NUM04,OBJ18,overall,C3
NUM04,OBJ19,overall,C3
NUM04,OBJ20,overall,C3
NUM04,OBJ21,overall,s1.25
NUM04,OBJ22,overall,C3
NUM04,OBJ23,overall,s2.50
NUM04,OBJ24,overall,C3
NUM04,OBJ25,overall,s2.50
NUM04,OBJ26,overall,s1.25
NUM04,OBJ27,overall,s2.50
NUM04,OBJ28,overall,s1.25
NUM04,OBJ29,overall,s2.50
NUM04,OBJ30,overall,C3
NUM05,OBJ01,texture,s1.25
NUM05,OBJ02,texture,s1.25
NUM05,OBJ03,texture,s2.50
NUM05,OBJ04,texture,C3
NUM05,OBJ05,texture,C3
NUM05,OBJ06,texture,s1.25
NUM05,OBJ07,texture,C3
NUM05,OBJ08,texture,s1.25
NUM05,OBJ09,texture,s1.25
NUM05,OBJ10,texture,s2.50
NUM05,OBJ11,texture,s1.25
NUM05,OBJ12,texture,s2.50
NUM05,OBJ13,texture,s2.50
NUM05,OBJ14,texture,s1.25
NUM05,OBJ15,texture,C3
NUM05,OBJ16,texture,s2.50
NUM05,OBJ17,texture,s2.50
NUM05,OBJ18,texture,s2.50
NUM05,OBJ19,texture,s2.50
NUM05,OBJ20,texture,C3
NUM05,OBJ21,texture,C3
NUM05,OBJ22,texture,C3
NUM05,OBJ23,texture,s1.25
NUM05,OBJ24,texture,C3
NUM05,OBJ25,texture,C3
NUM05,OBJ26,texture,C3
NUM05,OBJ27,texture,s2.50
NUM05,OBJ28,texture,s2.50
NUM05,OBJ29,texture,C3
NUM05,OBJ30,texture,C3
NUM05,OBJ01,shape,s2.50
NUM05,OBJ02,shape,s2.50
NUM05,OBJ03,shape,s2.50
NUM05,OBJ04,shape,s2.50
NUM05,OBJ05,shape,C3
NUM05,OBJ06,shape,s2.50
NUM05,OBJ07,shape,s2.50
NUM05,OBJ08,shape,s2.50
NUM05,OBJ09,shape,s2.50
NUM05,OBJ10,shape,s2.50
NUM05,OBJ11,shape,s2.50
NUM05,OBJ12,shape,s2.50
NUM05,OBJ13,shape,s2.50
NUM05,OBJ14,shape,s2.50
NUM05,OBJ15,shape,s2.50
NUM05,OBJ16,shape,s2.50
NUM05,OBJ17,shape,C3
NUM05,OBJ18,shape,s2.50
NUM05,OBJ19,shape,s2.50
NUM05,OBJ20,shape,C3
NUM05,OBJ21,shape,s2.50
NUM05,OBJ22,shape,s2.50
NUM05,OBJ23,shape,C3
NUM05,OBJ24,shape,s1.25
NUM05,OBJ25,shape,C3
NUM05,OBJ26,shape,s2.50
NUM05,OBJ27,shape,s2.50
NUM05,OBJ28,shape,s2.50
NUM05,OBJ29,shape,C3
NUM05,OBJ30,shape,s2.50
NUM05,OBJ01,overall,s1.25
NUM05,OBJ02,overall,C3
NUM05,OBJ03,overall,C3
NUM05,OBJ04,overall,s1.25
