schedule,object,fg_ssim,psnr,lap_var,rgb_std,grad_mag,gt_lap_var,gt_rgb_std,gt_grad_mag
linear_warmup,obj_0256,0.423264,16.3345,0.006664,0.142456,0.274170,0.004580,0.016066,0.173197
linear_warmup,obj_0257,0.193991,28.2760,0.005951,0.111633,0.198730,0.030780,0.035673,0.741443
linear_warmup,obj_0258,0.375641,19.7496,0.001986,0.100220,0.136719,0.012474,0.029816,0.354330
linear_warmup,obj_0259,0.443622,22.8179,0.003180,0.131348,0.206543,0.009247,0.033325,0.231415
linear_warmup,obj_0260,0.371378,16.6848,0.008377,0.154419,0.256348,0.006654,0.055633,0.212850
linear_warmup,obj_0261,0.229110,27.0564,0.002563,0.101257,0.182983,0.023488,0.064170,0.482730
linear_warmup,obj_0262,0.558957,19.3874,0.002930,0.147217,0.150024,0.004139,0.028851,0.150958
linear_warmup,obj_0263,0.405680,18.0652,0.003782,0.128906,0.179932,0.009676,0.039294,0.291206
linear_warmup,obj_0264,0.514913,21.9654,0.001187,0.122437,0.100647,0.007192,0.042384,0.243262
linear_warmup,obj_0265,0.462652,14.2782,0.009315,0.173706,0.235596,0.007823,0.111763,0.226335
linear_warmup,obj_0266,0.456180,15.5414,0.003078,0.112549,0.160522,0.011052,0.025955,0.210034
linear_warmup,obj_0267,0.291690,22.8478,0.002523,0.142944,0.169189,0.055326,0.030614,0.521118
linear_warmup,obj_0268,0.575400,22.7266,0.002373,0.105469,0.164673,0.003972,0.059214,0.153881
linear_warmup,obj_0269,0.462819,23.1637,0.001519,0.115112,0.129272,0.013380,0.019739,0.325141
linear_warmup,obj_0270,0.357824,15.8932,0.012512,0.165649,0.220215,0.009897,0.033427,0.303461
linear_warmup,obj_0271,0.077531,26.3692,0.002457,0.136719,0.183228,0.097826,0.046332,1.057874
linear_warmup,obj_0272,0.341856,18.8244,0.004745,0.133789,0.242065,0.011796,0.073971,0.344682
linear_warmup,obj_0273,0.335281,15.9188,0.002945,0.123474,0.135986,0.008858,0.046724,0.357052
linear_warmup,obj_0274,0.458104,17.5232,0.003607,0.144287,0.206299,0.004587,0.029709,0.189380
linear_warmup,obj_0275,0.324093,22.5477,0.006485,0.125244,0.261719,0.033503,0.021835,0.389938
linear_warmup,obj_0276,0.487228,19.1562,0.004890,0.134155,0.194580,0.007807,0.051502,0.209666
linear_warmup,obj_0277,0.456100,18.0837,0.005096,0.139648,0.227417,0.003416,0.040464,0.175559
linear_warmup,obj_0278,0.482358,24.4482,0.001767,0.130249,0.141357,0.009903,0.026811,0.206886
linear_warmup,obj_0279,0.429291,23.3868,0.001857,0.129639,0.122986,0.024628,0.017218,0.333563
linear_warmup,obj_0280,0.429002,15.3480,0.004467,0.124512,0.191528,0.007606,0.070051,0.265398
linear_warmup,obj_0281,0.446162,22.1353,0.004360,0.103088,0.230347,0.007837,0.042459,0.220296
linear_warmup,obj_0282,0.343305,24.5877,0.004990,0.101196,0.221191,0.020891,0.059509,0.365241
linear_warmup,obj_0283,0.355990,13.8953,0.012375,0.150757,0.311035,0.003375,0.035892,0.149055
linear_warmup,obj_0284,0.106395,16.6258,0.005470,0.122253,0.254639,0.131415,0.023977,0.982595
linear_warmup,obj_0285,0.476884,22.1148,0.002485,0.143066,0.163940,0.004266,0.068849,0.187473
linear_warmup,obj_0286,0.418826,15.7910,0.002962,0.132935,0.172607,0.006944,0.056326,0.229819
linear_warmup,obj_0287,0.602404,23.8955,0.000793,0.116699,0.095032,0.006067,0.019390,0.169933
linear_warmup,obj_0288,0.484578,20.1678,0.011818,0.135376,0.236572,0.006497,0.026002,0.165318
linear_warmup,obj_0289,0.504449,15.0558,0.004406,0.121704,0.200317,0.005438,0.073741,0.166728
linear_warmup,obj_0290,0.515284,18.3994,0.002811,0.125610,0.194092,0.003477,0.021560,0.149283
linear_warmup,obj_0291,0.543093,21.8593,0.002239,0.123169,0.128418,0.007455,0.028998,0.188778
linear_warmup,obj_0292,0.385610,16.2161,0.006214,0.123413,0.209229,0.008399,0.031454,0.286391
linear_warmup,obj_0293,0.341143,26.2918,0.001780,0.123840,0.156372,0.018298,0.041409,0.368487
linear_warmup,obj_0294,0.433417,19.9549,0.003994,0.128906,0.170044,0.008569,0.032942,0.280819
linear_warmup,obj_0295,0.517792,17.9482,0.002771,0.110840,0.157837,0.004932,0.013023,0.199949
linear_warmup,obj_0296,0.468032,16.2038,0.004002,0.139893,0.210205,0.004655,0.045382,0.216247
linear_warmup,obj_0297,0.377355,22.0364,0.003826,0.133179,0.213379,0.007217,0.016731,0.298636
linear_warmup,obj_0298,0.199326,18.0108,0.005062,0.126099,0.252441,0.070726,0.033735,0.727601
linear_warmup,obj_0299,0.435037,16.6647,0.005112,0.147705,0.237671,0.008822,0.166634,0.229603
